ngram,frequency
cellular decomposition,1
cellular object,1
topological space colimit,1
space colimit,1
other work,1
homotopy type functor,1
type functor,1
left Quillen adjoint,1
Quillen adjoint,1
semisimple representation,1
various ring,1
exact endofunctor,1
simple definition,1
abelian categorification,1
various representation,1
symmetric group,1
weight category,1
topological aspect,1
quantum link invariant,1
quantum link,1
link invariant,1
link homology,1
homotopical property,1
word rewriting system,1
word rewriting,1
rewriting system,1
critical branching,1
several technique,1
convergent presentation,1
general differentiable stack,1
proper differentiable stack,1
usual result,1
general proper stack,1
proper stack,1
other key aspect,1
key aspect,1
lax algebra,1
monad t.,1
finite profinite group,1
profinite group,1
canonical site,1
epimorphic cover,1
efficient way,1
open subgroup,1
various model category,1
various model,1
boolean flow tac,1
flow tac,1
boolean flow tac,1
flow tac,1
cyclic boolean flow,1
spatial locale,1
embedding theorem,1
hilbert category,1
monoidal unit,1
simple generator,1
hilbert space,1
adjointable map,1
adjoint morphism,1
intermediate result,1
involutive field,1
Hilbert category,1
complex base field,1
complex base,1
mixed distributive law,1
right adjoint monad,1
adjoint monad,1
mixed distributive law,1
ordinary distributive law,1
weak entwining operator,1
weak entwining,1
weak notion,1
weak distributive law,1
wreath product monad,1
product monad,1
mixed case,1
elementary Seely category,1
Seely category,1
additive connective,1
categorical point,1
usual interpretation,1
whole family,1
stratified coherent model,1
obsessional coherent model,1
elementary Seely category,1
Seely category,1
space homotopy orthogonality,1
space homotopy,1
homotopy orthogonality,1
colimit calculation,1
certain homotopical invariant,1
homotopical invariant,1
homotopical excision,1
critical dimension,1
cofibred category,1
overall context,1
such construction,1
useful general result,1
main homotopical application,1
homotopical application,1
several base point,1
several base,1
base point,1
unlabeled asynchronous transition,1
asynchronous transition system,1
asynchronous transition,1
transition system,1
local preorder,1
control flow,1
distinct component,1
such component,1
computable invariant,1
machine behavior,1
such meaningful partition,1
meaningful partition,1
geometric technique,1
static program analysis,1
static program,1
program analysis,1
prior work,1
last clause,1
precise meaning,1
such category,1
certain embedding,1
presheaf category,1
dendrotopic set,1
plank construction,1
Dieudonne construction,1
Lindelof case,1
countable neighbourhood property,1
countable neighbourhood,1
neighbourhood property,1
countable subcover,1
compact subset,1
finite subset,1
further property,1
Lindelof CNP space,1
CNP space,1
Alster space,1
such space,1
open question,1
natural duality,1
monoidal exact functor,1
exact functor,1
adjoint couple,1
commutative diagram,1
certain duality,1
projection formula,1
classical base change,1
classical base,1
composition formula,1
such duality,1
Witt group,1
co)endomorphism algebra,1
von Neumann core,1
Neumann core,1
particular notion,1
categorical pasting diagram,1
categorical pasting,1
commutative part,1
linear category,1
standard result,1
bicategorical analog,1
pointed categorical counterpart,1
subtractive variety,1
binary term,1
normal epimorphism,1
subtractive normal category,1
homological category,1
pointed subobject functor,1
pointed subobject,1
subobject functor,1
suitable preservation,1
reflection property,1
standard diagram,1
advanced embedding theorem,1
advanced embedding,1
key property,1
elementary rule,1
normal one,1
metric jet,1
metric jet tangent,1
metric jet,1
jet tangent,1
metric context,1
new differentiability,1
classical differentiability,1
new map,1
other condition,1
internal crossed module,1
crossed module,1
commutator condition,1
cohomology group h^3(z,1
group h^3(z,1
intermediate class,1
distinguished class,1
cocompleteness assumption,1
simplified categorical approach,1
Galois descent theory,1
mild additional condition,1
additional condition,1
Grothendieck descent datum,1
descent datum,1
suitable monad,1
Grothendieck descent theory,1
Galois descent construction,1
descent construction,1
other related construction,1
related construction,1
various explicit calculation,1
abelian cohomology,1
coefficient object,1
particular functor,1
internal family,1
final functor,1
former theorem,1
Cech cocycle,1
coefficient category,1
internal family,1
discrete functor,1
replete reflective subcategory,1
crucial concept,1
such computation,1
protoadditive functor,1
natural generalisation,1
general treatment,1
appropriate condition,1
universal measure,1
universal multiplicative measure,1
multiplicative measure,1
multiplicative case,1
coproduct preservation,1
product measure,1
generalized order,1
monadic schizophrenic object,1
schizophrenic object biadjunction,1
object biadjunction,1
permutative category,1
bimonoidal category,1
strict one,1
numerous context,1
such diverse example,1
diverse example,1
kleisli monoid,1
specific bicategorie,1
previous example,1
detailed exposition,1
systematic process,1
hilbert space,1
combinatorial interpretation,1
annihilation operator,1
commutation relation,1
field operator,1
second application,1
Hecke algebra,1
deformation parameter,1
prime power,1
nontrivial example,1
projective plane,1
finite field,1
third application,1
Hall algebra,1
Hall algebra,1
positive part,1
internal profunctor,1
new profunctorial approach,1
profunctorial approach,1
Mac Lane extension,1
Lane extension theorem,1
Lane extension,1
extension theorem,1
Mac Lane theorem,1
Lane theorem,1
faithful action,1
certain abelian group,1
normal extension,1
Galois groupoid,1
combinatorial category,1
concrete description,1
various category,1
helpful viewpoint,1
Span construction,1
first generalization,1
vertical category,1
partial left bi,1
left bi,1
second generalization,1
arbitrary category,1
normal double category,1
oplax double category,1
vertical arrow category,1
doctrinal approach,1
weak temporal doctrine,1
temporal doctrine,1
same codomain,1
categorical logic,1
logical rule,1
like law,1
tensor functor,1
basic categorical property,1
nice symmetry,1
temporal doctrine,1
upper set,1
complete ring,1
new variation,1
category chu(d,1
high wide subcategory,1
wide subcategory,1
reflexive topological module,1
topological module,1
deterministic automaton,1
monadic formalism,1
first monad,1
nondeterministic case,1
power set monad,1
power set,1
set monad,1
stochastic case,1
measurable monoid,1
probability theory,1
useful review,1
several appendix,1
detailed construction,1
alternative description,1
CCD sup,1
below relation,1
unpublished result,1
Möbius category,1
canonical algebra morphism,1
canonical algebra,1
algebra morphism,1
incidence algebra,1
Möbius inversion principle,1
Möbius inversion,1
inversion principle,1
incidence algebra,1
inversion result,1
free module,1
iso class,1
objective approach,1
monoidal extensive category,1
combinatorial object,1
appropriate ring,1
combinatorial functor,1
explicit consideration,1
analogous property,1
presentable morphism,1
kernel object,1
Reedy model structure,1
Reedy model,1
projective model structure,1
different model category,1
different model,1
different entry,1
bisimplicial model category,1
bisimplicial model,1
Waldhausen subcategory,1
new invariant,1
smooth transversal map,1
transversal map,1
Whitney stratified manifold,1
stratified manifold,1
natural class,1
stratified normal submersion,1
normal submersion,1
usual homotopy group,1
usual homotopy,1
simple example,1
elementary property,1
rich structure,1
rigid monoidal category,1
ribbon category,1
semigroup action,1
theoretic torsor,1
complete description,1
semigroup prehomomorphism,1
scalar functor,1
tensor product functor,1
unitary semigroup,1
accessible functor,1
profunctorial explanation,1
autonomous monoidal bicategory,1
easy observation,1
arbitrary monoidal category,1
correct level,1
standard concept,1
similar one,1
correct framework,1
arithmetic pretopo,1
general categorical definition,1
categorical definition,1
arithmetic universe,1
incompleteness result,1
cartesian bicategorie,1
left adjoint arrow,1
adjoint arrow,1
Cayley graph,1
negative integer,1
other area,1
stochastic process,1
combinatorial group theory,1
combinatorial group,1
graph morphism,1
zeta series,1
finite graph,1
finite walkable graph,1
walkable graph,1
walk space,1
recent idea,1
new structure,1
differential restriction structure,1
differential restriction,1
restriction structure,1
various completion operation,1
various completion,1
completion operation,1
countable meet,1
Zariski topology,1
partial operation,1
alternate proof,1
unpublished theorem,1
boolean cyclic spectrum,1
coreflective pair,1
normal”-type equivalence,1
exponentiability characterization,1
special class,1
various compactification,1
new explicit construction,1
categorical semidirect product,1
semidirect product,1
simplified description,1
certain double category,1
horizontal transformation,1
lax morphism,1
strong morphism,1
lax double category,1
bundle category,1
traditional setting,1
nineteenth century,1
chain rule fibration,1
rule fibration,1
semi-)additive category,1
posetal analogue,1
involutive quantale,1
covariant involution,1
coherence issue,1
other notion,1
balanced monoidal category,1
dagger pivotal category,1
pivotal category,1
integral quantaloid,1
certain subalgebra,1
specific monad,1
subobject classifier axiom,1
classifier axiom,1
classifiable subalgebra,1
closed left ideal,1
left ideal,1
orthogonality class,1
proper combinatorial model,1
combinatorial model structure,1
same cube,1
process algebra,1
second Bousfield localization,1
bisimilar cubical transition,1
technical lemma,1
homotopical interpretation,1
elementary condition,1
involutive quantaloid,1
Cauchy completion monad,1
completion monad,1
symmetrisation comonad,1
such quantaloid,1
bilateral quantaloid,1
negative real number,1
small quantaloid,1
closed crible,1
various concern,1
internal co,1
strong logical structure,1
logical structure,1
pointed irreducible coalgebra,1
irreducible coalgebra,1
tensor product,1
bounded coalgebra,1
unbounded case,1
term Lie infinity,1
Lie infinity algebra,1
Lie infinity,1
infinity algebra,1
trilinear map,1
total degree,1
normalization functor,1
sh algebra,1
small adhesive category,1
curious type,1
certain pair,1
noncommutative duality,1
compact quantum group,1
quantum group,1
preliminary attempt,1
further development,1
Fourier theory,1
quantum algebra,1
close resemblance,1
convolution product,1
Wiener algebra,1
functional analysis,1
analysis term,1
certain special type,1
special type,1
categorical method,1
wavelet mathematic,1
promultiplicative graph,1
related concept,1
various different definition,1
different definition,1
smooth object,1
certain collection,1
standard test object,1
standard test,1
test object,1
smooth space,1
canonical natural transformation,1
punctual local connectedness,1
natural number object,1
number object,1
commutative Frobenius algebra,1
strict monoidal category,1
novel geometric interest,1
geometric interest,1
such algebra,1
knot colouring,1
knot group,1
subcanonical site,1
bicategorical localisation,1
Connes fusion tensor,1
fusion tensor product,1
fusion tensor,1
finite Hilbert module,1
Hilbert module,1
von Neumann algebra,1
Neumann algebra,1
Hilbert bi,1
natural category,1
relative algebraic tensor,1
algebraic tensor product,1
algebraic tensor,1
diagonal simplicial set,1
total simplicial set,1
natural comparison map,1
natural comparison,1
elementary proof,1
simplicial loop group,1
simplicial loop,1
loop group functor,1
loop group,1
group functor,1
complex functor,1
unit map,1
reduced simplicial set,1
monadic definition,1
Hopf algebraic literature,1
algebraic literature,1
quantum structure,1
general technique,1
such criterion,1
specific invariant,1
presheaf topos,1
explicit site characterization,1
explicit site,1
site characterization,1
lax adjunction,1
symmetric algebra,1
Wraith glueing,1
etale groupoid,1
theoretic perspective,1
main conceptual tool,1
conceptual tool,1
crossed topos,1
theoretic characterization,1
point theorem,1
dualizable fiber,1
string diagram calculus,1
diagram calculus,1
other context,1
explicit Basis property,1
Basis property,1
semantic characterization,1
appropriate representation,1
indexed category theory,1
indexed category,1
sphere spectrum,1
bicategorical cokernel,1
Postnikov datum,1
simple algebraic description,1
combinatorial description,1
treelike structure,1
graphlike structure,1
easy way,1
second part,1
various other kind,1
partial product,1
term logic,1
cartesian partial map,1
completeness theorem,1
several free construction,1
free construction,1
part paper,1
systematic study,1
abstract partial map,1
representational result,1
small range category,1
small range,1
partial function,1
free range category,1
free range,1
certain type,1
generalized version,1
Freyd conjecture,1
possible proof,1
elementary formal reduction,1
formal reduction,1
term skew,1
particular laxified version,1
laxified version,1
lax unit,1
skew pseudo,1
base comonoid,1
monoidal category \cv,1
category \cv,1
skew monoidale,1
quantum groupoid,1
invertible associativity constraint,1
invertible associativity,1
associativity constraint,1
internal biequivalence,1
biadjoint biequivalence,1
invertible object,1
coherent choice,1
injective object,1
congruence lattice,1
equivalent small category,1
important class,1
particular case,1
new expression,1
weak factorisation system,1
algebraic model structure,1
recent joint paper,1
same author,1
hopf monad,1
special form,1
fusion operator,1
present author,1
hopf monad,1
galois entwining,1
new property,1
cauchy complete category,1
final section application,1
section application,1
cartesian monoidal category,1
important case,1
fibre functor,1
strong monoidal functor,1
graphical notation,1
coloured region,1
simple proof,1
complicated calculation,1
certain algebraic structure,1
arbitrary base category,1
additional algebraic structure,1
strict interval,1
certain cocategory object,1
certain cocategory,1
cocategory object,1
alternative approach,1
autonomous comonad,1
autonomous case,1
autonomous comonad,1
Hopf comonad,1
various fragment,1
multiple site,1
presheaf type,1
closed multicategorie,1
commutative monad,1
several aspect,1
physical extensive quantity,1
Schwartz distribution,1
particular aspect,1
conditional probability,1
double complex,1
further application,1
building block,1
analogous study,1
triple complex,1
wreath product construction,1
product construction,1
negative integer,1
first instance,1
other value,1
local idempotent closure,1
idempotent closure,1
monad \mnd,1
associativity property,1
important occurrence,1
observable quantity,1
Ising type,1
type quantum spin,1
quantum spin chain,1
quantum spin,1
spin chain,1
dual pair,1
faithful embedding,1
colax idempotent pseudomonad,1
right Kan extension,1
lax idempotent pseudomonad,1
colax idempotent pseudomonad,1
lax idempotent pseudomonad,1
logical development,1
algebraic viewpoint,1
equational presentation,1
logical viewpoint,1
formal deductive system,1
equational consequence,1
canonical model theory,1
dualization structure,1
elementary doctrine,1
such doctrine,1
universal solution,1
other universal construction,1
universal construction,1
effective quotient,1
vast generalization,1
Hopf algebra literature,1
algebra literature,1
Hopf Galois extension,1
bicategorical notion,1
local cocompleteness,1
strong representability,1
cocomplete homological category,1
extent action,1
abstract action core,1
abstract action,1
exact setting,1
preliminary investigation,1
general categorical context,1
categorical commutator,1
binary one,1
strict action core,1
strict conjugation action,1
strict conjugation,1
alternative proof,1
category equivalence,1
other one,1
associativity type condition,1
associativity type,1
type condition,1
usual property,1
abelian action core,1
abelian action,1
Beck module,1
corresponding morphism concept,1
corresponding morphism,1
morphism concept,1
relativized topological concept,1
topological concept,1
complete morphism,1
complete morphism,1
compact fibre,1
labeled graph,1
regular injective object,1
injective object,1
commutative monoid,1
pure monomorphism,1
closed monoidal category,1
commutative ring object,1
sup semi,1
uniform structure,1
Huq property,1
explicit Hopf formula,1
abelianisation functor,1
canonical arrow,1
Mal’tsev normal category,1
ary exact category,1
ary exact category,1
small coproduct,1
ary site,1
covering sieve,1
small family,1
set condition,1
unary case,1
pretopos completion,1
small presheave,1
∞-ary exact completion,1
large nontrivial site,1
nontrivial site,1
small sheaf,1
representable profunctor,1
entire functional relation,1
functional relation,1
abstract categorical setting,1
pointed context,1
unified treatment,1
regular subtractive category,1
fourth author,1
regular subtractive category,1
pointed analogue,1
strong monomorphism,1
reflexive strong relation,1
particular instance,1
regular monomorphism,1
normal lax functor,1
horizontal lax transformation,1
certain double category,1
finite poset,1
generalized equivalence,1
single theorem,1
certain exponentiable morphism,1
usual definition,1
enriched context,1
Kleisli object,1
doctrinal setting,1
difunctional relation,1
diexact category,1
strict initial object,1
difunctional relation,1
separable factorization,1
Herbrand topos,1
different property,1
ordinary realizability topos,1
Schonfinkel algebra,1
Herbrand realizability topos,1
Gleason cover,1
ordinary realizability topo,1
Herbrand realizability construction,1
realizability construction,1
dense applicative morphism,1
ergodic action,1
compact quantum group,1
operator algebra,1
quantum homogeneous space,1
homogeneous space,1
finite equivariant hilbert,1
equivariant hilbert module,1
equivariant hilbert,1
hilbert module,1
dimensional representation,1
equivariant Morita equivalence,1
indecomposable module,1
natural equivalence,1
global approach,1
ergodic action,1
other geometry,1
differentiable function,1
smooth function,1
such theory,1
complex supermanifold,1
algebraic superscheme,1
canonical superization,1
special subcategory,1
algebraic property,1
particular class,1
strict double category,1
relative Mal’tsev axiom,1
Mal’tsev axiom,1
differentiation operation,1
exterior differentiation,1
exterior derivative,1
cochain complex,1
first principal result,1
Crans tensor product,1
Crans tensor,1
weak factorisation system,1
factorisation system,1
second principal result,1
lax tensor product,1
lax tensor,1
single framework,1
conceptual background,1
Batanin operad,1
strict omega,1
additional operation,1
certain identity,1
complical identity,1
generalized metric space,1
categorical Isbell completion,1
Isbell completion construction,1
completion construction,1
tight span construction,1
classical metric space,1
categorical completion,1
tropical module structure,1
tropical module structure,1
module structure,1
Isbell adjunction,1
free cocompletion functor,1
cocompletion functor,1
category factor,1
homological degree,1
Mac Lane space,1
Lane space,1
weak inverse,1
site description,1
equivariant sheaf topos,1
equivariant sheaf,1
sheaf topos,1
open topological groupoid,1
topological groupoid,1
open topological groupoid,1
topological groupoid,1
quotient geometric theory,1
geometric theory,1
intrinsic characterization,1
quotient theory,1
gluing axiom,1
certain example,1
systematical way,1
abelian differential cocycle,1
differential cocycle,1
Messing gerbe,1
abelian bundle gerbe,1
abelian bundle,1
concrete model,1
several new feature,1
new feature,1
class group,1
Neumark duality,1
categorical formulation,1
Weierstrass theorem,1
reflective epicomplete subcategory,1
epicomplete subcategory,1
interesting reflective subcategorie,1
reflective subcategorie,1
Gelfand ring,1
epicomplete object,1
clean ring,1
theoretic setting,1
monoidal monad,1
Baxter type equation,1
Baxter type,1
type equation,1
lie group,1
parameter category object,1
parameter category,1
category object,1
parameter space,1
iteration version,1
iteration description,1
certain limit,1
codensity monad,1
double dualization,1
linear analogue,1
compact vector space,1
compact vector,1
finite family,1
ultraproduct monad,1
large family,1
diagonal structure,1
diagonal model structure,1
diagonal model,1
Kan fibration,1
inverse image,1
pioneering study,1
open problem,1
degenerate topo,1
computational density,1
unified setting,1
indexed enriched category,1
Grothendieck completion,1
different approach,1
generalized functor,1
equivalent construction,1
structural organisation,1
like product,1
main source,1
similar spirit,1
distributive space,1
algebraic space,1
distributive space,1
idempotent split completion,1
split completion,1
convergence relation,1
further duality theorem,1
further duality,1
duality theorem,1
horizontal monoid,1
duoidal category,1
bimonoid structure,1
vertical monoidal structure,1
Tannaka adjunction,1
enriched category,1
certain hom,1
classical convolution,1
day convolution,1
hopf bimonoid,1
new duoidal category,1
natural generalisation,1
little brother,1
analogous tensor product,1
analogous tensor,1
standard strictification functor,1
standard strictification,1
strictification functor,1
strict tricategorie,1
degenerate one,1
correct bicategory,1
tuply monoidal category,1
partial combinatory algebra,1
combinatory algebra,1
dense one,1
topo inclusion,1
general form,1
relative computability,1
effective topo,1
fibration structure,1
universal way,1
fibration structure,1
torsion bundle gerbe,1
torsion bundle,1
compact smooth manifold,1
smooth manifold,1
étale lie groupoid,1
lie groupoid,1
Azumaya algebra,1
Swan theorem,1
suitable enriched category,1
proper factorization system,1
proper factorization,1
familiar notion,1
normed vector space,1
normed vector,1
Tierney topology,1
enriched idempotent monad,1
latter hypothesis,1
certain pullback,1
wide intersection,1
enriched monad,1
existence result,1
enriched case,1
adjoint functor factorization,1
adjoint functor,1
functor factorization result,1
functor factorization,1
factorization result,1
opcartesian tabulation,1
diagrammatic criterion,1
generalized Quillen model,1
local equivalence,1
strong stack,1
presheaf topos,1
quality type,1
related result,1
recognition principle,1
monoidal simplicial model,1
small simplicial category,1
Bousfield localization,1
suitable monoidal model,1
simplicial replacement,1
relative category,1
other concrete example,1
commutative dg algebra,1
commutative dg,1
dg algebra,1
Hodge complex,1
relative category,1
infinitesimal deformation theory,1
infinitesimal deformation,1
standard result,1
free part,1
corresponding cocycle,1
cobounding condition,1
rigorous exposition,1
heuristic method,1
cartesian structure,1
sequential multicategorie,1
concurrent arrow,1
cartesian multicategorie,1
similar perspective,1
peculiar item,1
algebraic product,1
several classical fact,1
classical fact,1
usual diagonal lifting,1
diagonal lifting property,1
diagonal lifting,1
corresponding criterion,1
enriched prefactorization system,1
enriched prefactorization,1
prefactorization system,1
ordinary factorization system,1
ordinary factorization,1
enriched factorization,1
enriched factorization system,1
enriched factorization,1
strong monomorphism,1
commutative c*-algebra,1
Gelfand spectrum,1
other spectrum,1
go result,1
generalized conditional expectation,1
traditional conditional expectation,1
classical setting,1
new formulation,1
theoretical criterion,1
axiom paradigm,1
coordinate projective line,1
projective line,1
suitable field,1
Leibler divergence,1
interesting category,1
probability theory,1
finite set,1
stochastic right inverse,1
right inverse,1
measurement process,1
semicontinuous functor,1
additive monoid,1
scalar multiple,1
categorical topology,1
basic example,1
same thing,1
general topological functor,1
enrichment base,1
faithful functor,1
generalised notion,1
various concept,1
Leibniz type,1
complete lie,1
nilpotent case,1
Kan complex,1
Kan property,1
composition rule,1
dual categorical approach,1
abelian algebra,1
preliminary step,1
categorical treatment,1
new conceptual link,1
conceptual link,1
Reedy category axiom,1
Reedy category,1
category axiom,1
assumed prerequisite,1
healthy appetite,1
category theoretic argument,1
theoretic argument,1
streamlined proof,1
useful technical result,1
hard work,1
weighted colimit,1
familiar formula,1
homotopy limit,1
globular double category,1
twisted action,1
numerous example,1
vector space structure,1
space structure,1
new terminology,1
essential new notion,1
new notion,1
analytic spectrum,1
rig category,1
analytic function,1
analytic space,1
generalized scheme,1
analytic version,1
Arakelov compactification,1
affine arithmetic variety,1
arithmetic variety,1
gauge theory,1
essential ingredient,1
path space construction,1
space construction,1
comonadic resolution,1
canonical fibration,1
Grothendieck group construction,1
Grothendieck group,1
group construction,1
surjective homomorphism,1
Galois structure,1
special homogeneous surjection,1
homogeneous surjection,1
flow category,1
real vector space,1
real vector,1
positive integer,1
Morse index,1
Morse modulus space,1
Morse modulus,1
modulus space,1
such map,1
precise axiom,1
geofibered category,1
usual sheaf,1
theoretic context,1
pointed category,1
mono factorization,1
group representation,1
character formula,1
profinite topological space,1
Stone topology,1
mutation pair,1
triangulated category,1
mutation pair,1
quotient category,1
many previous construction,1
groupoid principal bundle,1
infinite dimensional manifold,1
dimensional manifold,1
several category,1
other bibundle,1
equivalent bicategorie,1
groupoid morphism,1
coherent category,1
strong protomodularity,1
algebraic cartesian closedness,1
cartesian closedness,1
theoretic context,1
universal ambient structure,1
ambient structure,1
theoretic framework,1
categorical colimit,1
such codescent object,1
theoretic situation,1
braided operad,1
abstract elementary class,1
elementary class,1
limit type,1
closure phenomenon,1
original operad,1
unifying environment,1
categorical way,1
weak morphism,1
\ladj sup,1
associative composition,1
idempotent comonad structure,1
idempotent comonad,1
comonad structure,1
small taxon,1
interpolative module,1
useful grading,1
\hu \n,1
strong inclusion,1
strong bi,1
spatial case,1
regular ordered space,1
regular bispace,1
transformation groupoid,1
analogous situation,1
transformation groupoid,1
diagrammatic term,1
computable example,1
abelian surface holonomy,1
abelian surface,1
dimensional holonomie,1
rigorous meaning,1
abelian magnetic flux,1
magnetic flux,1
gauge covariance,1
reduced group,1
dimensional categorical structure,1
weak triple category,1
main feature,1
third composition,1
invertible comparison cell,1
invertible comparison,1
comparison cell,1
appropriate morphism,1
strict triple category,1
crossed bimodule,1
special kind span,1
kind span,1
bimodule butterfly,1
bimodule butterfly,1
generalized covering space,1
covering space theory,1
covering space,1
space theory,1
unique lifting property,1
unique lifting,1
lifting property,1
unit disk,1
usual monodromy action,1
monodromy action,1
coreflective hull h(c,1
hull h(c,1
subgroup lattice,1
traditional covering space,1
traditional covering,1
covering space,1
special coreflective subcategorie,1
other generalized covering,1
generalized covering category,1
covering category,1
such covering,1
standard whisker topology,1
standard whisker,1
whisker topology,1
contractible space,1
continuous lifting,1
natural quotient topology,1
natural quotient,1
quotient topology,1
third paper,1
system cc(c,1
system cc(c,1
system cc,1
fiber product,1
weak equivalence class,1
Cech compactification,1
ring structure,1
braided monoidal functor,1
monoidal natural transformation,1
Drinfel’d distributive law,1
module coalgebra,1
comodule algebra,1
dual setting,1
cyclic homology,1
monadic framework,1
mutual inverse,1
categorical perspective,1
arbitrary Lie groupoid,1
local diffeomorphism,1
base manifold,1
same effect,1
equivalent Lie groupoid,1
systematic way,1
different Lie groupoid,1
arbitrary Lie groupoid,1
effective orbifold groupoid,1
effective orbifold,1
orbifold groupoid,1
traditional notion,1
presentation theory,1
proper smooth stack,1
smooth stack,1
skew monoidal category,1
skew monoidal structure,1
Moore coalgebra,1
"functor hom(-,x",1
"quotient functor hom(-,x)/g.",1
quotient functor,1
"functor hom(-,x)/g.",1
"form \hom(-,x)/g",1
lie algebra,1
valued differential form,1
cohomology categorical group,1
symmetric kernel,1
functorial section,1
linear dual,1
cocontinuous linear functor,1
double dual,1
dimensional coassociative coalgebra,1
coassociative coalgebra,1
dimension hypothesis,1
coherent sheaf,1
semisimple algebraic group,1
algebraic group,1
positive characteristic,1
closed projective subscheme,1
projective subscheme,1
positive dimension,1
affine scheme,1
reductive group,1
tannakian duality,1
countable indexing poset,1
countable indexing,1
indexing poset,1
apparent strengthening,1
internal axiom,1
split extension classifier,1
action theory,1
corresponding construction,1
valued function,1
other thing,1
dimensional vector space,1
special commutative dagger,1
commutative dagger,1
dimensional Hilbert space,1
Hilbert space,1
unbiased basis,1
algebraic setting,1
possible generalization,1
simplicial space,1
Segal group action,1
reduced Segal space,1
object q_0,1
athe slice category,1
athe slice,1
Segal space model,1
space model structure,1
space model,1
internal presheave,1
accessibility property,1
accessibility rank,1
related problem,1
orbital extensive category,1
combinatorial aspect,1
differential linear logic,1
cokleisli category,1
cokleisli category,1
independent way,1
natural condition,1
practical importance,1
modern differential geometry,1
cartesian category,1
seely category,1
polynomial functor,1
bagdomain datum,1
present framework,1
distinct closed class,1
closed class,1
galois connection,1
covariant category,1
object image,1
category projection,1
similar one,1
bicategorical ingredient,1
categorical analogue,1
factor class,1
third correspondence,1
semireplete factorization system,1
semireplete factorization,1
coherence property,1
unbiased contraction,1
several coherence theorem,1
several coherence,1
unbiased contraction,1
canonical adjunction,1
preliminary statement,1
possible weak equivalence,1
normal monomorphism,1
action accessible category,1
undesirable property,1
monoidal nature,1
numerous author,1
Kleisli construction,1
bicategorical structure,1
limit closure,1
integral domain,1
sup lattice,1
important distinction,1
algebraic part,1
case suprema,1
coincidental part,1
case infima,1
sup lattice,1
distributive partial lattice,1
partial lattice,1
partial operation,1
exclusion principle,1
downset lattice,1
useful guide,1
partial lattice,1
sheaf category,1
relevant part,1
reasonable necessary condition,1
theoretical interpretation,1
fibre product,1
homotopy pullback,1
characteristic subobject,1
characteristic subgroup,1
Moore double category,1
oplax double monad,1
forgetful double functor,1
double functor alg_w(t,1
functor alg_w(t,1
bicommutative Hopf monoid,1
cocommutative comonoid,1
homotopy colimit construction,1
homotopy colimit,1
operad action,1
braided monoidal category,1
flexible way,1
general bicomplete category,1
bicomplete category,1
following question,1
suitable subcategory wc,1
subcategory wc,1
minor assumption,1
infinite graph,1
particular partition,1
homotopy relation,1
fundamental property,1
homotopy set,1
homotopy invariant,1
automorphism group,1
small Grothendieck site,1
constant cosheave,1
shape theory,1
uniform completion,1
Dedekind completion,1
proximity relation,1
category pdv,1
category bav,1
bounded archimedean vector,1
archimedean vector lattice,1
archimedean vector,1
Dedekind vector lattice,1
contravariant adjunction,1
category khaus,1
important structure,1
inference rule,1
such structure,1
Streicher structure,1
first section,1
careful proof,1
contravariant identity,1
object involutive endofunctor,1
involutive endofunctor,1
extremal solution,1
coherence property,1
strong such monad,1
categorical cocylinder factorization,1
categorical cocylinder,1
cocylinder factorization,1
co)fibred functor,1
theorem b.,1
local nature,1
global section,1
nonlocal geometric information,1
geometric information,1
gluing operation,1
compatible pair,1
local section,1
conditional product structure,1
conditional product,1
joint probability distribution,1
joint probability,1
simplex category,1
new kind,1
morphism face,1
distinctive feature,1
composition operation,1
original morphism,1
composite morphism,1
final face,1
arbitrary characteristic,1
indecomposable representation,1
linear representation,1
first homotopy group,1
first homotopy,1
homotopy group,1
homotopy invariant,1
adjointness condition,1
commutative quantale,1
enriched Yoneda lemma,1
Yoneda lemma,1
base monoidal category,1
topos theory,1
Fermat real,1
singular space,1
dimensional space,1
Fermat space,1
future paper,1
compact closed bicategory,1
closed bicategory,1
weak dual,1
coherence law,1
weak pullback,1
certain bicategorie,1
resistor network,1
homotopy local presentability,1
simplicial presheave,1
Joyal equivalence,1
dualizable object,1
linear combination,1
formal nature,1
homotopical context,1
familiar additivity,1
cofiber sequence,1
counting theorem,1
general formula,1
abstract krivine structure,1
krivine structure,1
relative realizability topo,1
relative realizability,1
"realizability topo rt(a’,a",1
"topo rt(a’,a",1
boolean subtopo,1
localic boolean subtripose,1
boolean subtripose,1
Vesley tripo,1
gerbal representation,1
string diagram formalism,1
diagram formalism,1
categorical character,1
gerbal representation,1
inertia groupoid,1
quotient vector bundle,1
contravariant global section,1
global section functor,1
section functor,1
trivial vector bundle,1
trivial vector,1
contravariant functor,1
linear extension,1
linearized topological space,1
restricted type,1
quotient vector bundle,1
linearized locale,1
support map,1
continuity condition,1
Vietoris topology,1
sober spectral vector,1
spatial linearized locale,1
open support topology,1
open support,1
support topology,1
universal spectral vector,1
arbitrary topological vector,1
vector space a.,1
space a.,1
classical snake lemma,1
classical snake,1
term exact sequence,1
commutative square,1
new diagram lemma,1
new diagram,1
diagram lemma,1
strong homotopy kernel,1
strong homotopy,1
regular protomodular category,1
morphism axiom,1
angulated category,1
many generalization,1
same base category,1
same base,1
existence theorem,1
category structure \mo,1
structure \mo,1
\mo \mt,1
